Das Geld der Welt: Die Alte Welt - Eurasien;Regal 1;Ebene 7;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Das Geld der Welt: Die Alte Welt - Afrika;Regal 1;;In Arbeit - Vorhanden: Ägypten, Namibia, Seychellen, Südafrika;3. Elemente der Welt - Geld, Geschichte und Reisen;4 Sätze;2002-2017
Das Geld der Welt: Die Neue Welt - Amerika;Regal 1;Ebene 7;Bahamas, Costa Rica, Jamaika, Kanada, Mexiko, Ostkaribische Staaten, Trinidad und Tobago, Vereinigte Staaten von Amerika, Brasilien, Argentinien, Venezuela;3. Elemente der Welt - Geld, Geschichte und Reisen;11 Sätze;1979-2018
Das Geld der Welt: Die Neue Welt - Ozeanien;Regal 1;;In Arbeit - Vorhanden: Australien, Neuseeland, Papua-Neuguinea;3. Elemente der Welt - Geld, Geschichte und Reisen;3 Sätze;2004-2014
Das Geld der Welt: Die 2-Euro-Gedenkmünzen;Regal 1;Ebene 7;In Arbeit;3. Elemente der Welt - Geld, Geschichte und Reisen;????;Ab 2002
Die echte Kölsche Küche-Et Orjenal;Regal 1;Ebene 7;Jens Dreisbach und Verlagsarchiv (Komet);4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;144;2015
Omas schönste Kochrezepte;Regal 1;Ebene 7;Herausgeber Naumann & Göbel;4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;160;2012
Raffinierte Köstlichkeiten der Welt - Gebäck;Regal 1;Ebene 7;Sylvia Winnewisser;4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;256;2000
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Weihnachtsgeschichten;Regal 1;Ebene 7;Darwyn Cooke, David Michelinie, Jeff Parker, Reilly Brown, Todd McFarlane & Alexander Rösch;Spider-Man und die Avengers;100;2018
DC: Das große Superhelden-Lexikon;Regal 1;Ebene 7;Christian Heiß;DC Comics Lexikon;208;2015-2017
DC: Das große Superhelden-Lexikon - Erweitert und aktualisiert;Regal 1;Ebene 7;Christian Heiß;DC Comics Lexikon;208;2019
Marvel: Spider-Man - Erstaunliche Abenteuer;Regal 1;Ebene 7;Stan Lee, John Romita Junior & Michael Strittmatter;Marvel Anthologie;336;2017
Marvel: Deadpool - Deadpools Greatest;Regal 1;Ebene 7;Fabian Nicieza & Rob Liefeld;Marvel Anthologie;324;2016
Marvel: Thor - Geschichten aus Asgard;Regal 1;Ebene 7;Stan Lee, Jack Kirby, John Buscema, Walter Simonson, J. Michael Straczynski, Oliver Coipel, Alexander Rösch, Reinhard Schweize & Michael Strittmatter;Marvel Anthologie;320;2017
DC: Joker - Die grössten Schurkenstücke des Verbrecherclowns;Regal 1;Ebene 7;Verschiedene;DC Anthologie;372;2015
DC: Batman - 20 Legendäre Geschichten über den Dunklen Ritter;Regal 1;Ebene 7;Frank Miller;DC Anthologie;372;2014
Dinopark;Regal 2;Ebene 7;Michael Crichton (English Ausgabe);Jurassic Park Anthologie;536;1991/1993
